rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
46,Aydoxiam,Mage,Arcane,Spellslinger,10383879.443192,325498,729,Zul'jin,Refined,Diamantine Voidcore,Astral Antenna,HhvAGmCrFJWy8qVf,42
47,Audiobook,Hunter,BeastMastery,Dark Ranger,10382175.206677,376190,728,Frostmourne,Comfy,Unyielding Netherprism,Araz's Ritual Forge,qAXfgQ7kHypVNL9r,39
48,Kevxh,Hunter,BeastMastery,Dark Ranger,10373333.797543,332465,729,Area 52,Twitch Prime,Unyielding Netherprism,Araz's Ritual Forge,hPBtGRdW31qQ2N6r,2
49,Boomhunt,Hunter,BeastMastery,Dark Ranger,10358794.13667,383434,729,Mal'Ganis,Pathogen,Araz's Ritual Forge,Unyielding Netherprism,bnTqcKJyWQGA8BCf,34
50,Ryanlockwood,DeathKnight,Frost,Rider of the Apocalypse,10354613.743846,329864,729,Illidan,velocity,Unyielding Netherprism,Astral Antenna,98V64QBGyx2vPD1J,4
51,Banshers,Hunter,BeastMastery,Dark Ranger,10349429.877393,357809,729,Stormrage,Consequence,Unyielding Netherprism,Araz's Ritual Forge,LJvjQHbDrByY3wW2,42
52,Talyndis,Hunter,BeastMastery,Dark Ranger,10348387.569177,362116,729,Shadowsong,,Astral Antenna,Unyielding Netherprism,jVr7DBC1v6LhypZP,5
53,Xmab,Hunter,BeastMastery,Dark Ranger,10345441.612066,348745,729,Bleeding Hollow,Resonate,Ara-Kara Sacbrood,Unyielding Netherprism,PV86knXxYMCavN1z,32
54,Supajombombo,Hunter,BeastMastery,Dark Ranger,10345075.450139,336063,729,Zul'jin,FwF,Unyielding Netherprism,Astral Antenna,namdhZB7Dp6ARWYJ,9
55,Hwilkz,Hunter,BeastMastery,Dark Ranger,10344443.875084,332927,729,Illidan,Refined,Unyielding Netherprism,Araz's Ritual Forge,FG2bwv3YQ9nJc8qj,40
