rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
38,Snowhuntr,Hunter,BeastMastery,Dark Ranger,10708774.213111,336388,729,Blackrock,constant,Araz's Ritual Forge,Unyielding Netherprism,bw2xjmLZMfDNnA9k,46
39,Hyllee,Hunter,BeastMastery,Dark Ranger,10694101.748501,337489,729,Ragnaros,Mayhem,Unyielding Netherprism,Araz's Ritual Forge,YmF9wkAt3hGJyMVf,62
40,Mullich,Hunter,BeastMastery,Dark Ranger,10690633.3728,411317,728,Draenor,Энивей,Unyielding Netherprism,Improvised Seaforium Pacemaker,CGxDabN4RjfzW8r7,10
41,Daohuntr,Hunter,BeastMastery,Dark Ranger,10689736.024666,382710,729,Silvermoon,Without Limits,Araz's Ritual Forge,Unyielding Netherprism,ZptT3fFQr4WhGPzR,7
42,Loonyxhunter,Hunter,BeastMastery,Dark Ranger,10681025.285985,365578,729,Blackrock,Wild Things,Unyielding Netherprism,Araz's Ritual Forge,3fJwTghajRxdpvKr,7
43,Pencilcase,Hunter,BeastMastery,Dark Ranger,10679346.779932,366809,729,Draenor,The Ministry,Unyielding Netherprism,Astral Antenna,cwr9hj3vdZVPNKHt,26
44,Vengz,DeathKnight,Frost,Rider of the Apocalypse,10660170.1049,333747,729,Draenor,Reflection,Astral Antenna,Unyielding Netherprism,c93jq1Y2NpwGnZPm,7
45,Domidana,Hunter,BeastMastery,Dark Ranger,10659408.497752,455038,729,Drak'thul,Discoveries,Unyielding Netherprism,Araz's Ritual Forge,xXCRVFAzrGaKwNTZ,35
46,Bîstand,Hunter,BeastMastery,Dark Ranger,10633627.63086,382717,729,Ragnaros,Sabotage,Unyielding Netherprism,Araz's Ritual Forge,yGA2xX3VzPZwpth8,3
47,Хантэц,Hunter,BeastMastery,Dark Ranger,10630300.501988,306780,729,Ревущий фьорд,Гнев Анархии,Araz's Ritual Forge,Unyielding Netherprism,QvMzn9YWp3786FrX,62
48,Майкимагх,Mage,Arcane,Spellslinger,10630215.342425,392728,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Diamantine Voidcore,njqaxC9ZXhtJfkFm,48
49,Anonymous,Mage,Arcane,Spellslinger,10627777.238576,322493,729,,,Diamantine Voidcore,Astral Antenna,a:vHyBN37mKXq8QnPa,56
50,Punanipirate,Hunter,BeastMastery,Dark Ranger,10607068.033647,424878,729,Silvermoon,Addiction Therapy Two,Araz's Ritual Forge,Unyielding Netherprism,T7Rcz46KN3rHMWJp,9
51,Ahmiir,Hunter,BeastMastery,Dark Ranger,10605781.978985,338527,729,Kazzak,W A S H E D,Unyielding Netherprism,Improvised Seaforium Pacemaker,Qx1LBMGbC9jPHdDf,4
52,Keightlyn,Hunter,BeastMastery,Dark Ranger,10604520.013585,344491,729,Burning Blade,Eternal Shadows,Araz's Ritual Forge,Unyielding Netherprism,wPcpMqBWkA61YQH8,4
53,Royaly,Mage,Arcane,Spellslinger,10604159.443698,346718,729,Defias Brotherhood,Ashen,Azhiccaran Parapodia,Diamantine Voidcore,7F6qjRTmJgkdnyNx,51
54,Augmentfluup,Evoker,Augmentation,Scalecommander,10598171.852033,319746,729,Tarren Mill,Hatewatching,Diamantine Voidcore,Lily of the Eternal Weave,Vv4CnJTB89AQFYXK,45
55,Azortharion,Hunter,BeastMastery,Dark Ranger,10594882.740044,342666,729,Kazzak,Noctis,Unyielding Netherprism,Astral Antenna,ZvAJtaKHF6czPM8T,38
56,Tirande,Hunter,BeastMastery,Dark Ranger,10573919.866817,354098,729,Antonidas,Huskies eSports,Ara-Kara Sacbrood,Unyielding Netherprism,6CLPJtMAzRXq7pmD,38
57,Qenjua,Hunter,BeastMastery,Dark Ranger,10571374.247208,328112,729,Sylvanas,Hatewatching,Araz's Ritual Forge,Unyielding Netherprism,LrZdF9T3P2GDHhpY,7
58,Mimik,Hunter,BeastMastery,Dark Ranger,10560694.051583,339956,729,Burning Blade,Eternal Shadows,Unyielding Netherprism,Araz's Ritual Forge,ZrYLqWzvkfc1wDNC,8
